post_id,post_name,post_author,post_date,post_type,post_status,post_title,post_content,post_category,post_tags,custom_field
,,sugimoto,2020/3/2,post,publish,新型コロナウイルス感染症に伴い「スポーツ能力測定会 in 岐阜」の開催は中止となりました。,"新型コロナウイルス感染症に伴い「スポーツ能力測定会 in 岐阜」の開催は中止となりました。
<a href='http://www.dosa.or.jp/event_pdf/2020/20200314_gf.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200314_gf.pdf</a>",お知らせ,,
,,sugimoto,2020/2/28,post,publish,新型コロナウイルス感染症に伴い「スポーツ能力測定会 in 佐野」の開催は中止となりました。,"新型コロナウイルス感染症に伴い「スポーツ能力測定会 in 佐野」の開催は中止となりました。
<a href='http://www.dosa.or.jp/event_pdf/2020/20200322_sn.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200322_sn.pdf</a>",お知らせ,,
,,sugimoto,2020/2/26,post,publish,新型コロナウイルス感染症に伴い「スポーツポテンシャル測定会（板橋区）」の開催は中止となりました。,"新型コロナウイルス感染症に伴い「スポーツポテンシャル測定会（板橋区）」の開催は中止となりました。
<a href='http://www.dosa.or.jp/event_pdf/2020/20200301_ITBS.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200301_ITBS.pdf</a>",お知らせ,,
,,sugimoto,2020/2/25,post,publish,新型コロナウイルス感染症に伴い「スポーツ能力測定会 in 横須賀」の開催は中止となりました。,"新型コロナウイルス感染症に伴い「スポーツ能力測定会 in 横須賀」の開催は中止となりました。
<a href='http://www.dosa.or.jp/event_pdf/2020/20200330_yksk.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200330_yksk.pdf</a>",お知らせ,,
,,sugimoto,2020/2/25,post,publish,新型コロナウイルス感染症に伴い「スポーツ能力測定会 in 豊島区」の開催は中止となりました。,"新型コロナウイルス感染症に伴い「スポーツ能力測定会 in 豊島区」の開催は中止となりました。
<a href='http://www.dosa.or.jp/event_pdf/2020/20200225_toshima.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200225_toshima.pdf</a>",お知らせ,,
,,sugimoto,2020/2/18,post,publish,2020/3/14 JALスポーツ能力測定会 in 岐阜のお申込みはこちら（3月3日〆切）　,"2020/3/14 JALスポーツ能力測定会 in 岐阜のお申込みはこちら（3月3日〆切）　
<a href='https://www.dosa.or.jp/sp/c_dosa/participant_input.php?id=592495'>https://www.dosa.or.jp/sp/c_dosa/participant_input.php?id=592495</a>",お知らせ,,
,,sugimoto,2020/02/05,post,publish,2020/2/29 JALスポーツ能力測定会 in 千葉のお申込みは終了しました。　,"2020/2/29 JALスポーツ能力測定会 in 千葉のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2020/20200229.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200229.pdf</a>",お知らせ,,
,,sugimoto,2020/02/01,post,publish,2020/3/7 スポーツ能力測定会 in 豊島区のお申込みは終了しました。　,"2020/3/7 スポーツ能力測定会 in 豊島区のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2020/20200307.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200307.pdf</a>",お知らせ,,
,,sugimoto,2020/01/29,post,publish,2020/2/24 スポーツ能力測定会 in 福井のお申込みは終了しました。　,"2020/2/24 スポーツ能力測定会 in 福井のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2020/20200224.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200224.pdf</a>",お知らせ,,
,,sugimoto,2020/01/29,post,publish,2020/2/22 JALスポーツ能力測定会 in 愛媛のお申込みは終了しました。　,"2020/2/22 JALスポーツ能力測定会 in 愛媛のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2020/20200222.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200222.pdf</a>",お知らせ,,
,,sugimoto,2020/01/27,post,publish,2020/2/16 JALスポーツ能力測定会 in 宮城のお申込みは終了しました。　,"2020/2/16 JALスポーツ能力測定会 in 宮城のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2020/20200216.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200216.pdf</a>",お知らせ,,
